generacja,najlepszy_fitness,sredni_fitness,liczba_gatunkow,czas_epoki_s,avg_fitness_informed,avg_fitness_uninformed,neat_avg_worth,bench_hold6040,bench_momentum,bench_random,pct_bond,pct_stock,pct_crypto,pct_cash,avg_trades
1638,612.10,427.37,2,2.35,432.85,421.88,2830.83,425.46,1013.56,490.74,6.07,62.06,25.34,6.53,121.66
1639,606.71,473.34,2,2.32,502.09,444.59,3832.23,362.26,692.59,369.53,5.43,60.16,30.85,3.55,122.95
1640,772.02,515.11,2,2.21,569.34,460.89,5530.10,322.64,248.00,398.35,5.98,59.81,28.96,5.24,155.93
1641,696.03,498.55,2,2.32,549.46,447.64,5088.13,373.12,230.28,423.17,5.21,58.89,32.10,3.80,146.17
1642,661.06,459.53,2,2.42,488.53,430.54,3761.68,457.41,226.93,526.08,5.94,56.20,32.29,5.57,132.71
1643,692.37,497.85,2,2.21,496.15,499.55,4569.50,400.82,212.98,460.63,6.20,61.40,27.95,4.44,163.20
1644,670.45,478.82,2,2.20,533.05,424.60,4761.17,403.88,989.42,490.58,5.20,61.41,29.38,4.02,129.02
1645,703.66,489.46,2,2.23,552.12,426.80,4833.66,371.60,483.92,479.59,5.27,66.97,24.13,3.63,142.05
1646,613.46,474.36,2,2.34,458.80,489.92,4043.26,421.71,487.66,453.97,5.47,68.63,20.38,5.52,121.17
1647,645.52,491.45,2,2.32,491.42,491.48,4273.60,342.42,841.02,448.70,5.88,69.33,19.08,5.71,152.93
1648,588.01,459.11,2,2.15,447.38,470.85,3518.65,332.37,148.54,377.56,5.47,68.73,23.09,2.71,114.16
1649,686.74,476.63,2,2.65,507.46,445.80,4393.78,391.92,227.71,496.17,5.27,65.51,24.82,4.40,121.65
1650,515.24,430.69,2,2.19,444.05,417.33,2791.77,360.37,520.50,411.47,5.66,67.91,22.14,4.28,107.16
1651,727.77,481.61,2,2.22,445.03,518.19,4099.45,279.54,174.55,361.76,5.87,66.40,23.93,3.81,133.55
1652,579.27,432.69,2,2.20,429.15,436.23,2916.53,395.04,266.47,476.06,5.36,64.85,25.57,4.23,98.89
1653,752.20,482.87,2,2.20,543.79,421.95,4907.73,358.78,159.11,419.39,4.82,64.73,27.01,3.43,127.26
1654,713.94,462.87,2,2.15,480.44,445.31,3785.04,357.57,918.74,423.20,5.33,61.50,28.52,4.65,140.89
